,base_case
H + H2NN <=> H + N2H2,0.0
H2NN + O <=> NNH + OH,0.0
H2NN + O <=> NH2 + NO,0.0
H2NN + OH <=> H2O + NNH,0.0
H2NN + HO2 <=> H2O2 + NNH,0.0
H2NN + O2 <=> NH2 + NO2,0.0
H2NN + NH2 <=> NH3 + NNH,0.0
N2H3 + O <=> N2H2 + OH,0.0
N2H3 + O <=> HNO + NH2,0.0
H + N2H3 <=> H2 + N2H2,0.0
N2H3 + OH <=> H2O + N2H2,0.0
N2H3 + NH2 <=> N2H2 + NH3,0.0
H + N2H4 <=> H2 + N2H3,0.0
N2H4 + OH <=> H2O + N2H3,0.0
HNO + O <=> NO + OH,0.0
H + HNO <=> H2 + NO,0.0
HNO + OH <=> H2O + NO,0.0
HNO + N <=> NH + NO,0.0
NO + O (+M) <=> NO2 (+M),0.0
H + NO <=> N + OH,0.0
H + NO <=> NH + O,0.0
H + NO + M <=> HNO + M,0.0
HO2 + NO <=> NO2 + OH,0.0
H + N2O <=> N2 + OH,0.0
N2O (+M) <=> N2 + O (+M),0.0
H + NO2 <=> NO + OH,0.0
NO2 + O <=> NO + O2,0.0
HONO + NH2 <=> NH3 + NO2,0.0
HNOH + NO2 <=> HNO + HONO,0.0
HNO + NO2 <=> HONO + NO,0.0
HO2 + NO2 <=> HONO + O2,0.0
NO + OH (+M) <=> HONO (+M),0.0
H2 + NO2 <=> H + HONO,0.0
H2 + NO2 <=> H + HONO,0.0
H + HONO <=> HNO + OH,0.0
H + HONO <=> H2O + NO,0.0
HONO + O <=> NO2 + OH,0.0
HONO + OH <=> H2O + NO2,0.0
H2 + NO2 <=> H + HNO2,0.0
HNO2 + OH <=> H2O + NO2,0.0
H2NO + M <=> HNOH + M,0.0
HNOH + O <=> HNO + OH,0.0
HNOH + O <=> HNO + OH,0.0
HNOH + NH2 <=> N2H3 + OH,0.0
HO2 + NH2 <=> H2O + HON,0.0
H + HONO2 <=> H2 + NO3,0.0
2 NO2 <=> NO + NO3,0.0
NO2 + O (+M) <=> NO3 (+M),0.0
H + NO3 <=> NO2 + OH,0.0
NO3 + O <=> NO2 + O2,0.0
CO2 + N <=> CO + NO,0.0
CH3 + N <=> H + H2CN,0.0
CH3 + N <=> H + HCNH,0.0
CH + N2 <=> H + NCN,0.0
N2 + T-CH2 <=> HCN + NH,-2.0001690370402255e-11
CH + NO <=> HCN + O,1.393766647731042e-06
CH + NO <=> H + NCO,0.0
NO + T-CH2 <=> H + HCNO,0.0
CH3 + NO <=> H2O + HCN,9.72260601851731e-07
HCO + NO <=> CO + HNO,0.0
HCCO + NO <=> CO + HCNO,0.0
HCCO + NO <=> CO2 + HCN,5.527102920595766e-07
NO + S-CH2 <=> HCN + OH,3.068645277734572e-06
C2H + NO <=> CO + HCN,2.5216890419087433e-07
CH3 + HNO <=> CH4 + NO,0.0
CH3 + NO2 <=> CH3O + NO,0.0
CO2 + NH <=> CO + HNO,0.0
CH3 + N <=> H2 + HCN,1.8763960952839755e-06
CH4 + NH2 <=> CH3 + NH3,0.0
CH3 + H2NO <=> CH3O + NH2,0.0
CN + H2 <=> H + HCN,-2.7290842075175158e-06
CN + O <=> CO + N,0.0
CN + O2 <=> NCO + O,0.0
CN + OH <=> H + NCO,0.0
CH4 + CN <=> CH3 + HCN,3.7377824818433195e-07
CN + H2O <=> H + HOCN,0.0
HCN + O <=> H + NCO,-5.026512169273724e-06
HCN + O <=> CO + NH,-1.3567652993940506e-06
HCN + OH <=> CN + H2O,-1.2386294237961508e-06
HCN + OH <=> H + HOCN,-3.5769932414073633e-06
HCN + OH <=> H + HNCO,-6.198559530083739e-07
HCN <=> HNC,-1.0263712275460841e-05
H + HNC <=> H + HCN,-2.5987401151046904e-06
