,base_case
C3H6 + OH <=> CH3COCH3 + H,0.0
C3H6 + OH <=> H + SC3H5OH,0.0
C3H6 + OH <=> CH3 + CH3CHO,0.0
C3H6 + OH <=> C3H6OH1-2,0.0
C3H6 + OH <=> C3H6OH1-2,0.0
C3H6 + OH <=> C3H6OH2-1,0.0
C3H6 + OH <=> C3H6OH2-1,0.0
CH3COCH3 + H <=> C3H6OH2-1,0.0
C2H5CHO + H <=> C3H6OH1-2,0.0
C3H5-T + OH <=> CH3COCH3,0.0
C3H6OH1-2 + O2 <=> C2H5CHO + HO2,0.0
C3H6OH1-2 + O2 <=> HOC3H6O2,0.0
C3H6OH2-1 + O2 <=> HOC3H6O2,0.0
HOC3H6O2 => CH2O + CH3CHO + OH,0.0
SC3H5OH <=> C2H5CHO,0.0
O2 + SC3H5OH => C2H3CHO + H + HO2,0.0
OH + SC3H5OH => C2H3CHO + H + H2O,0.0
SC3H5OH + H => C2H3CHO + H2 + H,0.0
O + SC3H5OH => C2H3CHO + H + OH,0.0
HO2 + SC3H5OH => C2H3CHO + H + H2O2,0.0
CH3 + SC3H5OH => C2H3CHO + CH4 + H,0.0
CH3O2 + SC3H5OH => C2H3CHO + CH3O2H + H,0.0
CH3O + SC3H5OH => C2H3CHO + CH3OH + H,0.0
HO2 + SC3H5OH <=> C2H5CHO + HO2,0.0
HOCHO + SC3H5OH <=> C2H5CHO + HOCHO,0.0
C3H3 + C3H4-P <=> C3H3 + C3H4-A,0.0
C3H4-P + O2 <=> C3H3 + HO2,0.0
C3H4-P + O <=> C3H3 + OH,0.0
C3H4-P + H <=> C3H3 + H2,0.0
C3H4-P + OH <=> C3H3 + H2O,0.0
C3H4-P + OH => 0.15 C2H5 + 0.85 CH3COCH2 + 0.15 CO,0.0
C3H4-P + HO2 <=> C3H3 + H2O2,0.0
C3H4-P + CH3 <=> C3H3 + CH4,0.0
C3H4-P + CH3O2 <=> C3H3 + CH3O2H,0.0
C2H + C3H4-P <=> C2H2 + C3H3,0.0
C2H3 + C3H4-P <=> C2H4 + C3H3,0.0
C3H4-P + C3H5-A <=> C3H3 + C3H6,0.0
C3H4-A + H <=> C3H3 + H2,0.0
C3H4-A + O2 <=> C3H3 + HO2,0.0
C3H4-A + OH <=> C3H3 + H2O,0.0
C3H4-A + CH3 <=> C3H3 + CH4,0.0
C3H4-A + HO2 <=> C3H3 + H2O2,0.0
C3H4-A + CH3O2 <=> C3H3 + CH3O2H,0.0
C3H4-A + C3H5-A <=> C3H3 + C3H6,0.0
C3H4-A + H <=> C3H4-P + H,0.0
C3H4-A + H <=> C3H4-P + H,0.0
C3H4-A + H <=> C3H5-A,0.0
C3H4-A + H <=> C3H5-A,0.0
C3H4-A + H <=> C3H5-S,0.0
C3H4-A + H <=> C3H5-S,0.0
C3H4-A + H <=> C3H5-T,0.0
C3H4-A + H <=> C3H5-T,0.0
C3H4-A + H <=> C2H2 + CH3,0.0
C3H4-A + H <=> C2H2 + CH3,0.0
C3H4-P + H <=> C3H5-T,0.0
C3H4-P + H <=> C3H5-T,0.0
C3H4-P + H <=> C3H5-S,0.0
C3H4-P + H <=> C3H5-S,0.0
C3H4-P + H <=> C2H2 + CH3,0.0
C3H4-P + H <=> C3H5-A,0.0
C3H5-A <=> C3H5-T,0.0
C3H5-A <=> C3H5-S,0.0
C2H2 + CH3 <=> C3H5-T,0.0
C3H5-T <=> C3H5-S,0.0
C2H2 + CH3 <=> C3H5-A,0.0
C2H2 + CH3 <=> C3H5-S,0.0
C2H2 + CH3 <=> C3H5-S,0.0
C3H4-P + O <=> CH3 + HCCO,0.0
C3H4-P + O <=> C2H4 + CO,0.0
C3H4-P + O <=> C2H3 + HCO,0.0
C3H4-A + O <=> C2H4 + CO,0.0
C3H4-A + O <=> C2H2 + CH2O,0.0
C3H4-P + HO2 => C2H4 + CO + OH,0.0
C3H4-A + HO2 => C2H4 + CO + OH,0.0
C3H4-A + HO2 => CH2 + CH2CO + OH,0.0
C2H + C3H4-A <=> C2H2 + C3H3,0.0
C3H4-A + OH <=> CH2CCH2OH,0.0
CH2CCH2OH <=> C2H2 + CH2OH,0.0
CH2CCH2OH <=> C2H3 + CH2O,0.0
CH2CCH2OH <=> C2H3CHO + H,0.0
CH2CCH2OH <=> C2H4 + HCO,0.0
CH3CHCHO <=> C2H3CHO + H,0.0
